transaction_id,item_description,transaction_type,merchant
0,purchase Netflix,purchase,Netflix
1,transfer Shell,transfer,Shell
2,purchase Amazon,purchase,Amazon
3,transfer Starbucks,transfer,Starbucks
4,transfer Local Store,transfer,Local Store
5,transfer Walmart,transfer,Walmart
6,withdrawal Local Store,withdrawal,Local Store
7,purchase Online Service,purchase,Online Service
8,withdrawal Amazon,withdrawal,Amazon
9,withdrawal Amazon,withdrawal,Amazon
10,purchase Online Service,purchase,Online Service
11,purchase Amazon,purchase,Amazon
12,purchase Online Service,purchase,Online Service
13,transfer Starbucks,transfer,Starbucks
14,transfer Starbucks,transfer,Starbucks
15,transfer Netflix,transfer,Netflix
16,transfer Netflix,transfer,Netflix
17,purchase Amazon,purchase,Amazon
18,purchase Local Store,purchase,Local Store
19,transfer Online Service,transfer,Online Service
20,purchase Starbucks,purchase,Starbucks
21,transfer Local Store,transfer,Local Store
22,purchase Starbucks,purchase,Starbucks
23,purchase Walmart,purchase,Walmart
24,purchase Local Store,purchase,Local Store
25,transfer Local Store,transfer,Local Store
26,withdrawal Starbucks,withdrawal,Starbucks
27,transfer Starbucks,transfer,Starbucks
28,transfer Online Service,transfer,Online Service
29,withdrawal Shell,withdrawal,Shell
30,transfer Starbucks,transfer,Starbucks
31,transfer Shell,transfer,Shell
32,transfer Starbucks,transfer,Starbucks
33,transfer Amazon,transfer,Amazon
34,purchase Starbucks,purchase,Starbucks
35,purchase Online Service,purchase,Online Service
36,transfer Shell,transfer,Shell
37,purchase Local Store,purchase,Local Store
38,purchase Walmart,purchase,Walmart
39,transfer Online Service,transfer,Online Service
40,transfer Local Store,transfer,Local Store
41,transfer Local Store,transfer,Local Store
42,purchase Netflix,purchase,Netflix
43,withdrawal Shell,withdrawal,Shell
44,purchase Netflix,purchase,Netflix
45,transfer Netflix,transfer,Netflix
46,transfer Amazon,transfer,Amazon
47,withdrawal Online Service,withdrawal,Online Service
48,transfer Starbucks,transfer,Starbucks
49,withdrawal Walmart,withdrawal,Walmart
50,purchase Shell,purchase,Shell
51,transfer Online Service,transfer,Online Service
52,withdrawal Starbucks,withdrawal,Starbucks
53,withdrawal Starbucks,withdrawal,Starbucks
54,purchase Shell,purchase,Shell
55,transfer Online Service,transfer,Online Service
56,withdrawal Amazon,withdrawal,Amazon
57,withdrawal Online Service,withdrawal,Online Service
58,purchase Shell,purchase,Shell
59,purchase Local Store,purchase,Local Store
60,purchase Local Store,purchase,Local Store
61,purchase Starbucks,purchase,Starbucks
62,withdrawal Netflix,withdrawal,Netflix
63,purchase Local Store,purchase,Local Store
64,transfer Amazon,transfer,Amazon
65,transfer Starbucks,transfer,Starbucks
66,transfer Netflix,transfer,Netflix
67,purchase Walmart,purchase,Walmart
68,purchase Online Service,purchase,Online Service
69,transfer Amazon,transfer,Amazon
70,purchase Netflix,purchase,Netflix
